"STATION","NAME","DATE","ACMH","ACSH","AWND","FMTM","FRGT","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WDFM","WESD","WSF1","WSF2","WSF5","WSFG","WSFM","WT01","WT02","WT03","WT04","WT05","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT16","WT18","WT21","WV01","WV03","WV20"
"USW00012854","ORLANDO SANFORD AIRPORT, FL US","1945-04-01",,,,,,,"0.0","0.0",,,"28.9","17.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012854","ORLANDO SANFORD AIRPORT, FL US","1945-04-02",,,,,,,"0.0","0.0",,,"30.6","18.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012854","ORLANDO SANFORD AIRPORT, FL US","1945-04-03",,,,,,,"0.0","0.0",,,"32.2","18.9",,,,,,,,,,,,,"    1",,,,,,"    1",,,,,,,,,,,
"USW00012854","ORLANDO SANFORD AIRPORT, FL US","1945-04-04",,,,,,,"0.0","0.0",,,"31.1","18.9",,,,,,,,,,,,,"    1",,,,,,"    1",,,,,,,,,,,
"USW00012854","ORLANDO SANFORD AIRPORT, FL US","1945-04-05",,,,,,,"0.0","0.0",,,"31.7","18.3",,,,,,,,,,,,,"    1",,,,,,"    1",,,,,,,,,,,
"USW00012854","ORLANDO SANFORD AIRPORT, FL US","1945-04-06",,,,,,,"0.0","0.0",,,"27.8","17.8",,,,,,,,,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00012854","ORLANDO SANFORD AIRPORT, FL US","1945-04-07",,,,,,,"0.0","0.0",,,"20.6","17.2",,,,,,,,,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00012854","ORLANDO SANFORD AIRPORT, FL US","1945-04-08",,,,,,,"0.0","0.0",,,"22.8","16.7",,,,,,,,,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00012854","ORLANDO SANFORD AIRPORT, FL US","1945-04-09",,,,,,,"0.0","0.0",,,"26.1","16.1",,,,,,,,,,,,,,,,,,,"    1",,,,,,,,,,,
"USW00012854","ORLANDO SANFORD AIRPORT, FL US","1945-04-10",,,,,,,"0.0","0.0",,,"26.7","13.9",,,,,,,,,,,,,"    1",,,,,,,,,,,,,,,,,
"USW00012854","ORLANDO SANFORD AIRPORT, FL US","1945-04-11",,,,,,,"0.0","0.0",,,"27.2","13.9",,,,,,,,,,,,,"    1",,,,,,,,,,,,,,,,,
"USW00012854","ORLANDO SANFORD AIRPORT, FL US","1945-04-12",,,,,,,"0.0","0.0",,,"28.3","14.4",,,,,,,,,,,,,"    1",,,,,,,,,,,,,,,,,
"USW00012854","ORLANDO SANFORD AIRPORT, FL US","1945-04-13",,,,,,,"0.0","0.0",,,"28.9","16.7",,,,,,,,,,,,,"    1",,,,,,"    1",,,,,,,,,,,
"USW00012854","ORLANDO SANFORD AIRPORT, FL US","1945-04-14",,,,,,,"0.0","0.0",,,"29.4","16.1",,,,,,,,,,,,,"    1",,,,,,"    1",,,,,,,,,,,
"USW00012854","ORLANDO SANFORD AIRPORT, FL US","1945-04-15",,,,,,,"0.0","0.0",,,"30.6","17.8",,,,,,,,,,,,,"    1",,,,,,"    1",,,,,,,,,,,
"USW00012854","ORLANDO SANFORD AIRPORT, FL US","1945-04-16",,,,,,,"0.0","0.0",,,"30.6","18.9",,,,,,,,,,,,,"    1",,,,,,"    1",,,,,,,,,,,
"USW00012854","ORLANDO SANFORD AIRPORT, FL US","1945-04-17",,,,,,,"0.0","0.0",,,"32.2","20.0",,,,,,,,,,,,,,,,,,,"    1",,,,,,"    1",,,,,
"USW00012854","ORLANDO SANFORD AIRPORT, FL US","1945-04-18",,,,,,,"0.0","0.0",,,"32.8","20.0",,,,,,,,,,,,,"    1",,,,,,"    1",,,,,,"    1",,,,,
"USW00012854","ORLANDO SANFORD AIRPORT, FL US","1945-04-19",,,,,,,"0.0","0.0",,,"25.6","18.9",,,,,,,,,,,,,,,,,,,"    1",,,,,,,,,,,
"USW00012854","ORLANDO SANFORD AIRPORT, FL US","1945-04-20",,,,,,,"0.0","0.0",,,"29.4","17.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00012854","ORLANDO SANFORD AIRPORT, FL US","1945-04-21",,,,,,,"0.0","0.0",,,"29.4","17.8",,,,,,,,,,,,,"    1",,,,,,"    1",,,,,,,,,,,
"USW00012854","ORLANDO SANFORD AIRPORT, FL US","1945-04-22",,,,,,,"0.0","0.0",,,"30.0","18.9",,,,,,,,,,,,,"    1",,"    1",,,,,,,,,,"    1",,,,,
"USW00012854","ORLANDO SANFORD AIRPORT, FL US","1945-04-23",,,,,,,"0.0","0.0",,,"29.4","19.4",,,,,,,,,,,,,,,"    1",,,,,,,,,,"    1",,,,,
"USW00012854","ORLANDO SANFORD AIRPORT, FL US","1945-04-24",,,,,,,"0.0","0.0",,,"32.2","18.9",,,,,,,,,,,,,"    1",,,,,,,,,,,,,,,,,
"USW00012854","ORLANDO SANFORD AIRPORT, FL US","1945-04-25",,,,,,,"0.0","0.0",,,"35.0","21.1",,,,,,,,,,,,,"    1",,,,,,"    1",,,,,,,,,,,
"USW00012854","ORLANDO SANFORD AIRPORT, FL US","1945-04-26",,,,,,,"0.0","0.0",,,"31.7","21.7",,,,,,,,,,,,,"    1",,,,,,"    1",,,,,,,,,,,
"USW00012854","ORLANDO SANFORD AIRPORT, FL US","1945-04-27",,,,,,,"0.0","0.0",,,"33.9","22.2",,,,,,,,,,,,,,,,,,,"    1",,,,,,,,,,,
"USW00012854","ORLANDO SANFORD AIRPORT, FL US","1945-04-28",,,,,,,"0.0","0.0",,,"33.3","14.4",,,,,,,,,,,,,"    1",,"    1",,"    1",,,,,,,,"    1",,,,,
"USW00012854","ORLANDO SANFORD AIRPORT, FL US","1945-04-29",,,,,,,"0.0","0.0",,,"31.1","16.7",,,,,,,,,,,,,"    1",,,,,,"    1",,,,,,,,,,,
"USW00012854","ORLANDO SANFORD AIRPORT, FL US","1945-04-30",,,,,,,"0.0","0.0",,,"24.4","16.7",,,,,,,,,,,,,,,,,,,"    1",,,,,,,,,,,
"USW00012854","ORLANDO SANFORD AIRPORT, FL US","1945-05-01",,,,,,,"0.0","0.0",,,"26.1","12.8",,,,,,,,,,,,,,,,,,,"    1",,,,,,,,,,,
"USW00012854","ORLANDO SANFORD AIRPORT, FL US","1945-05-02",,,,,,,"0.0","0.0",,,"30.6","13.9",,,,,,,,,,,,,"    1",,,,,,"    1",,,,,,,,,,,
"USW00012854","ORLANDO SANFORD AIRPORT, FL US","1945-05-03",,,,,,,"0.0","0.0",,,"30.6","16.1",,,,,,,,,,,,,"    1",,,,,,"    1",,,,,,,,,,,
"USW00012854","ORLANDO SANFORD AIRPORT, FL US","1945-05-04",,,,,,,"0.0","0.0",,,"23.3","17.2",,,,,,,,,,,,,,,,,,,"    1",,,,,,"    1",,,,,
"USW00012854","ORLANDO SANFORD AIRPORT, FL US","1945-05-05",,,,,,,"0.0","0.0",,,"23.9","12.8",,,,,,,,,,,,,"    1",,,,,,"    1",,,,,,,,,,,
"USW00012854","ORLANDO SANFORD AIRPORT, FL US","1945-05-06",,,,,,,"0.0","0.0",,,"27.2","10.6",,,,,,,,,,,,,"    1",,,,,,"    1",,,,,,,,,,,
"USW00012854","ORLANDO SANFORD AIRPORT, FL US","1945-05-07",,,,,,,"0.0","0.0",,,"28.9","13.3",,,,,,,,,,,,,"    1",,,,,,"    1",,,,,,,,,,,
"USW00012854","ORLANDO SANFORD AIRPORT, FL US","1945-05-08",,,,,,,"0.0","0.0",,,"30.0","17.2",,,,,,,,,,,,,,,,,,,"    1",,,,,,,,,,,
"USW00012854","ORLANDO SANFORD AIRPORT, FL US","1945-05-09",,,,,,,"0.0","0.0",,,"30.6","18.9",,,,,,,,,,,,,"    1",,,,,,"    1",,,,,,,,,,,
"USW00012854","ORLANDO SANFORD AIRPORT, FL US","1945-05-10",,,,,,,"0.3","0.0",,,"32.2","18.9",,,,,,,,,,,,,"    1",,,,,,"    1",,,,,,,,,,,
"USW00012854","ORLANDO SANFORD AIRPORT, FL US","1945-05-11",,,,,,,"0.3","0.0",,,"32.2","18.9",,,,,,,,,,,,,"    1",,,,,,"    1",,,,,,"    1",,,,,
"USW00012854","ORLANDO SANFORD AIRPORT, FL US","1945-05-12",,,,,,,"0.0","0.0",,,"33.3","18.9",,,,,,,,,,,,,"    1",,,,,,"    1",,,,,,,,,,,
"USW00012854","ORLANDO SANFORD AIRPORT, FL US","1945-05-13",,,,,,,"0.0","0.0",,,"32.8","20.0",,,,,,,,,,,,,"    1",,,,,,"    1",,,,,,,,,,,
"USW00012854","ORLANDO SANFORD AIRPORT, FL US","1945-05-14",,,,,,,"25.4","0.0",,,"33.9","15.0",,,,,,,,,,,,,"    1",,"    1",,"    1","    1","    1",,,,,,"    1",,,,,
"USW00012854","ORLANDO SANFORD AIRPORT, FL US","1945-05-15",,,,,,,"0.5","0.0",,,"33.3","15.0",,,,,,,,,,,,,,,"    1",,,,"    1",,,,,,"    1",,,,,
